Class Name,Community,Rural Or Urban,Batch,District,Self Selected,Enrolled,Status
Kabre-Akulyou,Kabre-Akulyou,Rural,Batch 1,Bongo,172,58,Disbursement
Boya/Adonsi/Adagbira,Boya/Adonsi/Adagbira,Rural,Batch 1,Bawku West,78,56,Disbursement
Zamsa,Zamsa,Rural,Batch 1,Builsa South,66,57,Disbursement
Zanlerigu-Zoabulug,Zanlerigu-Zoabulug,Rural,Batch 1,Nabdam,59,51,Disbursement
Gbeogo,Gbeogo,Rural,Batch 1,Talensi,147,107,Disbursement
Kolnatinga,Kolnatinga,Rural,Batch 1,Tempane,54,46,Disbursement
Chuchuliga/Awenaguuk,Chuchuliga/Awenaguuk,Rural,Batch 1,Builsa North,73,69,Disbursement
Kanjarga-Zogsa,Kanjarga-Zogsa,Rural,Batch 2,Builsa South,32,32,Disbursement
Bulinga,Bulinga,Rural,Batch 3,Bawku West,32,31,Disbursement
Mantana,Lawook,Rural,Batch 2,Yunyoo-Nasuan District,97,97,Disbursement
Katigri,Katigri,Rural,Batch 3,Mamprugu Moagduri,156,135,Disbursement
Gbani,Gbani ,Rural,Batch 2,Talensi,78,78,Disbursement
Yagzore,Yagzore ,Rural,Batch 3,Talensi,72,72,Disbursement
Namori,Namori,Rural,Batch 3,Garu,32,32,Disbursement
Pusigon,Pusigon,Rural,Batch 3,Tempane,75,71,Mentoring
Kuuba,Kuuba,Rural,Batch 2,Mamprugu Moagduri,15,15,Disbursement
Sanjack-Kumpack-Tamping,Sanjack-Kumpack-Tamping,Rural,Batch 3,Bunkpurugu-Nakpanduri,46,38,Enrolment
Konchiangberuk,Konchiangberuk,Rural,Batch 2,Bunkpurugu-Nakpanduri,31,24,Disbursement
Mozio  Jinwol,Mozio  Jinwol,Rural,Batch 2,Yunyoo-Nasuan District,93,93,Disbursement
Kuffuk,Kuffuk,Rural,Batch 2,Yunyoo-Nasuan District,37,37,Disbursement
Boarankuon,Boarankuon,Rural,Batch 2,Tempane,60,60,Disbursement
Tarvango,Tarvango,Rural,Batch 3,Tempane,36,36,Disbursement
Nwaadug (Waadigu),Wakwan(Waugkpesir),Rural,Batch 2,Garu,22,22,Disbursement
Puhug*,Puhug,Rural,Batch 3,Talensi,82,67,Disbursement
Pwalungu Nayire,Pwalungu Nayire,Rural,Batch 2,Talensi,85,85,Disbursement
Achanyeri- Goayie,Achanyeri- Goayie,Rural,Batch 3,Builsa North,132,132,Formation
Tanchingu No 1,Tanchingu No 1 ,Rural,Batch 2,Pusiga,23,23,Disbursement
Ayelbia,Ayelbia,Rural,Batch 1,Bongo,109,50,Disbursement
Vea,Vea,Rural,Batch 1,Bongo,112,25,Disbursement
Yiziesi,Yiziesi,Rural,Batch 1,Mamprugu Moagduri,77,55,Disbursement
Wundua,Wundua,Rural,Batch 1,East Mamprusi,241,91,Disbursement
Gbedema-Golluk,Gbedema-Golluk,Rural,Batch 1,Builsa South,55,30,Disbursement
Goohe,Goohe,Rural,Batch 1,Nabdam,124,102,Disbursement
Bugpiigu,Bugpiigu ,Rural,Batch 1,Tempane,150,142,Disbursement
Chamota,Chamota,Rural,Batch 1,Pusiga,71,56,Disbursement
Fumbisi-Chiok,Fumbisi-Chiok,Rural,Batch 3,Builsa South,147,138,Disbursement
Kpatorigu,Kpatorigu,Rural,Batch 2,Mamprugu Moagduri,42,42,Disbursement
Nyamwai,Nyamwai,Rural,Batch 3,Bunkpurugu-Nakpanduri,43,33,Formation
Namaliku,Namaliku,Rural,Batch 2,Chereponi,15,15,Disbursement
Duusi,Duusi ,Rural,Batch 3,Talensi,89,81,Disbursement
Kolsabiliga,Kolsabiliga,Rural,Batch 3,Tempane,72,66,Disbursement
Kabiinsa,Kabiinsa,Rural,Batch 2,Builsa North,38,38,Disbursement
Yarigungu,Yarigungu,Rural,Batch 3,Binduri,19,19,Disbursement
Gentiga,Gentiga,Rural,Batch 3,Bawku Municipal,140,125,Disbursement
Kunkwa,Kunkwa,Rural,Batch 3,Mamprugu Moagduri,47,37,Disbursement
Bangola,Bangola,Rural,Batch 2,Nabdam,89,89,Disbursement
Gbankoni,Gbankoni,Rural,Batch 2,Bunkpurugu-Nakpanduri,166,165,Disbursement
Toobont,Toobont,Rural,Batch 2,Yunyoo-Nasuan District,42,42,Disbursement
La-Atari,La-Atari,Rural,Batch 2,East Mamprusi,79,76,Disbursement
Jato-Borfu (Bosu),Jato-Borfu (Bosu),Rural,Batch 2,Chereponi,134,128,Disbursement
Basyonde,Basyonde,Rural,Batch 2,Tempane,27,27,Disbursement
Kasiesa -Yemona,Kasiesa -Yemona,Rural,Batch 2,Builsa South,25,25,Disbursement
Aniego,Aniego,Rural,Batch 2,Bawku West,29,29,Disbursement
Gowrie,Gowrie,Rural,Batch 3,Bongo,23,23,Disbursement
Palnaba,Palnaba,Rural,Batch 3,Pusiga,54,53,Mentoring
MEMPEASEM,MEMPEASEM,Rural,Batch 4,Chereponi,87,87,Disbursement
Kparipii/Yakote,Kparipii/Yakote,Rural,Batch 1,Nabdam,86,63,Disbursement
Bulbia,Bulbia,Rural,Batch 1,West Mamprusi,119,94,Disbursement
Dagbamba Fongu/Guabuliga,Dagbamba Fongu/Guabuliga,Rural,Batch 1,West Mamprusi,142,132,Disbursement
Nansoni,Nansoni,Rural,Batch 1,Chereponi,49,28,Disbursement
Sangbana,Sangbana,Rural,Batch 1,Chereponi,95,66,Disbursement
Kolpiengo,Kolpiengo,Rural,Batch 1,Bawku Municipal,66,25,Disbursement
Kpikpaluk/Kadema,Kpikpaluk/Kadema,Rural,Batch 1,Builsa North,228,102,Disbursement
Kumpalgoga,Kumpalgoga,Rural,Batch 1,Binduri,179,128,Disbursement
Tambiugu - Batch 2,Tambiugu,Rural,Batch 1,Binduri,73,53,Disbursement
Logre Potin,Logre Potin,Rural,Batch 3,Nabdam,164,162,Disbursement
Kikaayiri,Kikaayiri,Rural,Batch 2,Mamprugu Moagduri,48,48,Disbursement
Kambatiak,Kambatiak,Rural,Batch 2,Bunkpurugu-Nakpanduri,47,47,Disbursement
Nyariga,Nyariga,Rural,Batch 3,Bongo,45,43,Disbursement
Zooya,Zooya,Rural,Batch 3,Nabdam,44,43,Disbursement
Bilinsa,Bilinsa,Rural,Batch 3,Builsa North,24,21,Formation
Kanansa Katuesa,Kanansa Katuesa,Rural,Batch 2,Builsa North,36,32,Disbursement
Yalugu,Yalugu,Rural,Batch 2,Binduri,94,93,Disbursement
Jadema,Jadema,Rural,Batch 2,Mamprugu Moagduri,21,21,Disbursement
Kukua No. 2,Kukua No. 2,Rural,Batch 2,West Mamprusi,211,211,Disbursement
Naachinaafongu-Nasia,Naachinaafongu-Nasia,Rural,Batch 2,West Mamprusi,79,75,Disbursement
Tugzua/Sakpari,Tugzua/Sakpari,Rural,Batch 3,Bawku Municipal,157,157,Mentoring
Karateshi (Bugpiigu),Karateshi (Bugpiigu),Rural,Batch 3,Tempane,100,95,Disbursement
Lungu,Lungu,Rural,Batch 2,Bongo,49,48,Disbursement
Tankoo,Tankoo,Rural,Batch 3,Bongo,34,32,Disbursement
Kultamse,Kultamse,Rural,Batch 2,Pusiga,76,76,Disbursement
Dudankukpalig,Dudankukpalig,Rural,Batch 4,Garu,49,49,Mentoring
SARAFONG,SARAFONG ,Rural,Batch 4,West Mamprusi,153,153,Mentoring
Yikurugu,Yikurugu,Rural,Batch 1,Bawku West,131,65,Disbursement
Salpuga-Guzongo,Salpuga-Guzongo,Rural,Batch 1,Bawku West,85,39,Disbursement
Bugya Kura/Walewale,Bugya Kura/Walewale,Rural,Batch 1,West Mamprusi,64,55,Disbursement
Wungu,Wungu,Rural,Batch 1,West Mamprusi,122,90,Disbursement
Loagri,Loagri,Rural,Batch 1,Mamprugu Moagduri,210,72,Disbursement
Tuni,Tuni,Rural,Batch 1,East Mamprusi,149,131,Disbursement
Wonjuga,Wonjuga,Rural,Batch 1,Chereponi,72,34,Disbursement
Mognori,Mognori,Rural,Batch 1,Bawku Municipal,180,102,Disbursement
Nangandem,Nangandem,Rural,Batch 1,Builsa North,134,66,Disbursement
Narango Saago,Narango Saago,Rural,Batch 1,Binduri,337,116,Disbursement
Wispeogo - Batch 2,Wispeogo,Rural,Batch 1,Binduri,26,20,Disbursement
Naadema,Naadema,Rural,Batch 2,Builsa South,69,69,Disbursement
Kinkangu,Kinkangu,Rural,Batch 3,Bunkpurugu-Nakpanduri,94,85,Formation
Bogrigo,Bogrigo,Rural,Batch 2,Bongo,48,48,Disbursement
Ayopia,Ayopia,Rural,Batch 3,Bongo,46,34,Disbursement
Kunduure,Kunduure,Rural,Batch 2,Nabdam,57,57,Disbursement
Damvoag,Damvoag,Rural,Batch 2,Tempane,58,58,Disbursement
Dawarinsa,Dawarinsa,Rural,Batch 2,Builsa North,107,107,Disbursement
Gumyoko/Yodelinga,Gumyoko/Yodelinga,Rural,Batch 3,Binduri,89,89,Formation
Dabozesi,Dabozesi,Rural,Batch 2,Mamprugu Moagduri,84,83,Disbursement
Bora Fongu-Gbimsi,Bora Fongu-Gbimsi,Rural,Batch 2,West Mamprusi,198,197,Disbursement
Moatani/Kparigu,Moatani/Kparigu,Rural,Batch 3,West Mamprusi,195,195,Disbursement
Tambalugu,Tambalugu,Rural,Batch 3,Bawku Municipal,115,115,Mentoring
Misnabzua,Misnabzua,Rural,Batch 3,Bawku Municipal,27,27,Disbursement
Akunka,Akunka,Rural,Batch 2,Bongo,34,34,Disbursement
Bongo Kunkua,Bongo Kunkua,Rural,Batch 2,Bongo,50,50,Disbursement
Awaah,Awaah,Rural,Batch 2,Bongo,29,29,Disbursement
Suande,Suande,Rural,Batch 3,Pusiga,66,62,Mentoring
Kpemale/Bandimsugru,Kpemale/Bandimsugru,Rural,Batch 1,Bunkpurugu-Nakpanduri,209,101,Disbursement
Jawani,Jawani,Rural,Batch 1,East Mamprusi,371,161,Disbursement
Bachongsa,Bachongsa,Rural,Batch 1,Builsa South,97,79,Disbursement
Tempizua 1&2,Tempizua 1&2,Rural,Batch 1,Bawku Municipal,116,52,Disbursement
Akongobisi/Kanabisi,Akongobisi/Kanabisi,Rural,Batch 1,Talensi,75,66,Disbursement
Susude CLASS,Susude,Rural,Batch 1,Tempane,47,23,Disbursement
Gareke,Gareke,Rural,Batch 1,Pusiga,162,148,Disbursement
Balerinsa,Balerinsa,Rural,Batch 2,Builsa South,20,20,Disbursement
Sangban/Naghan /Bakpan,Sangban/Naghan /Bakpan ,Rural,Batch 3,Yunyoo-Nasuan District,11,11,Disbursement
Gaagbini,Gaagbini,Rural,Batch 3,West Mamprusi,123,123,Disbursement
Mabambori,Mabambori,Rural,Batch 2,Chereponi,44,42,Disbursement
Zogamire,Zogamire,Rural,Batch 2,Nabdam,60,60,Disbursement
Telli,Telli,Rural,Batch 2,Tempane,50,50,Disbursement
Chandaasa,Chandaasa,Rural,Batch 3,Builsa North,63,53,Disbursement
Bador/Gomoluka,Bador/Gomoluka,Rural,Batch 3,Bawku Municipal,72,71,Mentoring
Yakin,Yakin,Rural,Batch 3,Nabdam,104,104,Disbursement
New Zongo,New Zongo,Rural,Batch 2,Bunkpurugu-Nakpanduri,143,125,Disbursement
Kufori,Kufori,Rural,Batch 3,Yunyoo-Nasuan District,1,0,Disbursement
Janga,Janga,Rural,Batch 3,West Mamprusi,10,10,Disbursement
Arizeem,Arizeem,Rural,Batch 3,Bawku Municipal,104,85,Disbursement
Kparimbok,Kparimbok,Rural,Batch 2,Tempane,43,43,Disbursement
Poraguur,Poraguur,Rural,Batch 2,Garu,35,35,Disbursement
Kanjarga Piisa,Kanjarga Piisa,Rural,Batch 3,Builsa South,51,48,Disbursement
Teshie-Agaogo,Teshie-Agaogo,Rural,Batch 3,Bawku West,38,37,Disbursement
Gbee/Kpale,Gbee/Kpale,Rural,Batch 3,Talensi,113,102,Disbursement
Akomdabogo,Akomdabogo,Rural,Batch 2,Pusiga,51,51,Disbursement
Saka-Zeogo,Saka-Zeogo,Rural,Batch 4,Bawku West,56,41,Disbursement
Zawse Widanatinga/Kpanatinga,Zawse Widanatinga/Kpanatinga,Rural,Batch 4,Binduri,119,119,Disbursement
Kubugu,Kubugu,Rural,Batch 1,Mamprugu Moagduri,90,62,Disbursement
Kpentaug,Kpentaug,Rural,Batch 1,Bunkpurugu-Nakpanduri,107,67,Disbursement
Sakogu,Sakogu,Rural,Batch 1,East Mamprusi,183,174,Disbursement
Namangu,Namangu,Rural,Batch 1,East Mamprusi,106,87,Disbursement
Biaka,Biaka,Rural,Batch 1,Binduri,41,29,Disbursement
Bimpella,Bimpella,Rural,Batch 1,Pusiga,101,77,Disbursement
Gbetmunpaak,Gbetmunpaak,Rural,Batch 3,Bunkpurugu-Nakpanduri,108,93,Formation
Nayorku,Nayorku,Rural,Batch 3,West Mamprusi,218,217,Disbursement
Tiekasu,Tiekasu,Rural,Batch 2,Chereponi,34,31,Disbursement
Kpamamba,Kpamamba,Rural,Batch 3,Chereponi,37,33,Disbursement
Chantiisa,Chantiisa,Rural,Batch 3,Builsa North,32,32,Disbursement
Kukparigu,Kukparigu,Rural,Batch 2,Binduri,29,29,Disbursement
Kuku/Zuli,Kuku/Zuli,Rural,Batch 3,Bawku Municipal,44,43,Mentoring
Widnaba,Widnaba,Rural,Batch 2,Binduri,67,66,Disbursement
Nayire(Pelungu),Nayire(Pelungu),Rural,Batch 2,Nabdam,69,69,Disbursement
Nkparig,Nkparig,Rural,Batch 3,Nabdam,105,105,Disbursement
Teanoba,Teanoba,Rural,Batch 3,East Mamprusi,41,41,Disbursement
Taagbini*,Taagbini*,Rural,Batch 3,East Mamprusi,59,58,Disbursement
Nawieku,Nawieku,Rural,Batch 2,Chereponi,126,126,Disbursement
Kpalugu-Terrago,Kpalugu-Terrago,Rural,Batch 3,Bawku Municipal,38,38,Mentoring
Yakin 2,Yakin,Rural,Batch 3,Bawku Municipal,71,69,Mentoring
Dalaasa,Dalaasa,Rural,Batch 2,Builsa South,27,27,Disbursement
Azongo,Azongo,Rural,Batch 2,Bawku West,33,33,Disbursement
Gbango (Ubango),Gbango (Ubango),Rural,Batch 2,Bawku West,36,28,Disbursement
KAMEGA TIDAGO,KAMEGA TIDAGO,Rural,Batch 5,Bawku West,42,42,Mentoring
BONGO,BONGO,Rural,Batch 5,Bongo,54,54,Mentoring
BILINMONSA,BILINMONSA,Rural,Batch 5,Builsa North,130,130,Mentoring
KPUNKPANYONG,KPUNKPANYONG 2,Rural,Batch 5,Tempane,77,77,Mentoring
DABOYA NO.2,DABOYA NO.2,Rural,Batch 5,West Mamprusi,76,76,Mentoring
Bunbuna,Bunbuna,Rural,Batch 1,Yunyoo-Nasuan District,71,33,Disbursement
Taanbiuk,Taanbiuk,Rural,Batch 1,Yunyoo-Nasuan District,138,32,Disbursement
Pialugu,Pialugu,Rural,Batch 1,Garu,139,125,Disbursement
Takore,Takore,Rural,Batch 1,Garu,26,23,Disbursement
Kubore,Kubore,Rural,Batch 3,Bawku West,0,0,Disbursement
Sitande,Sitande,Rural,Batch 2,Bawku West,42,42,Disbursement
Zigum,Zigum,Rural,Batch 3,East Mamprusi,90,87,Disbursement
Jakpa,Jakpa,Rural,Batch 3,Chereponi,55,35,Disbursement
Kolpelga,Kolpelga ,Rural,Batch 2,Talensi,140,140,Disbursement
Siisi,Siisi,Rural,Batch 3,Garu,29,29,Disbursement
Votukom,Votukom,Rural,Batch 2,Pusiga,107,105,Disbursement
Boya-Natinga,Boya-Natinga,Rural,Batch 3,Pusiga,35,35,Formation
Yirangu,Yirangu,Rural,Batch 3,Mamprugu Moagduri,76,75,Disbursement
Nayoko No.1*,Nayoko No.1*,Rural,Batch 3,Binduri,21,20,Disbursement
Lawook,Lawook,Rural,Batch 3,Yunyoo-Nasuan District,25,25,Disbursement
Jimbale - Wawa,Jimbale - Wawa,Rural,Batch 2,Yunyoo-Nasuan District,82,81,Disbursement
Kparivaka,Kparivaka,Rural,Batch 3,East Mamprusi,40,40,Disbursement
Danbu,Danbu,Rural,Batch 3,Chereponi,189,173,Disbursement
Menkpasir,Menkpasir,Rural,Batch 2,Garu,131,131,Disbursement
Komarkoum,Komarkoum,Rural,Batch 3,Garu,64,64,Disbursement
Wiesi-Yipaala,Wiesi-Yipaala,Rural,Batch 3,Builsa South,36,34,Disbursement
Zoo/Zubeongo,Zoo/Zubeongo,Rural,Batch 2,Talensi,81,81,Disbursement
Yimonsa,Yimonsa,Rural,Batch 2,Builsa North,64,62,Disbursement
Sambik,Sambik,Rural,Batch 4,Yunyoo-Nasuan District,33,25,Mentoring
Labsheika,Labsheika,Rural,Batch 4,Chereponi,20,20,Disbursement
MEGOGO,MEGOGO,Rural,Batch 4,Bawku Municipal,188,188,Disbursement
KULIMVAE/ZAMBALA,KULIMVAE/ZAMBALA,Rural,Batch 5,Binduri,101,101,Mentoring
BOKO,BOKO,Rural,Batch 5,Binduri,126,126,Mentoring
KUBORI,KUBORI,Rural,Batch 5,Mamprugu Moagduri,60,60,Mentoring
