subProject,Sub Project Code,Community Type,Type,District,Contractor,Status,% Completion,Beneficiaries
 MAINTENANCE OF 4.2HA CASHEW PLANTATION AT NANSONI ,20797,Rural,Climate Change,CHEREPONI,,Closed,100,17
 MAINTENANCE OF 17 HA CASHEW PLANTATION AT WUNDUA ,20798,Rural,Climate Change,EAST MAMPRUSI,,Completed,100,43
 Rehabilitation of Samboliga-Agatuse feeder road (5.20 km),20912,Rural,Feeder Road,BAWKU WEST,Legico Enterprise Ltd,OnGoing,52.25,156
Rehabilitation of Aniisi - Belimpiisi Feeder Road (3.5km),20915,Rural,Feeder Road,BINDURI,Messrs Marnagan Co. Ltd.,Closed,93.5,161
Rehabilitation of Pwalugu-Manpelugu Feeder Road (3.5km),20929,Rural,Feeder Road,TALENSI,AMEG COMPANY LTD,OnGoing,46.95,85
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Nafkolga community",21147,Rural,Climate Change,BINDURI,,OnGoing,61,62
"Rehabilitation of 6.5 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Ayelbia community",21148,Rural,Climate Change,BONGO,,Completed,100,43
Rehabilitation of Kpemale-Bamdimsugru Feeder Road(5.2km),21197,Rural,Feeder Road,BUNKPURUGU,Amobet Engineering & Construction Ltd,Completed,100,162
Rehabilitation of Small Earth Dam at Kuka-Natinga,21265,Rural,Dam,BAWKU ,Synagogue Construction Limited,OnGoing,50.4,183
Rehabilitation of Small Earth Dam at Nayoko,21266,Rural,Dam,BINDURI,SUMMIT  DOU COMPANY LIMITED,OnGoing,77.77777778,364
Rehabilitation of Small Earth Dam at Akara,21280,Rural,Dam,TEMPANE,Akologo Enterprise Ltd,OnGoing,66.2,426
Rehabilitation of Small Earth Dam at Uwasi,21530,Rural,Dam,BUILSA SOUTH,NDANAYINA ENTERPRISE,OnGoing,46.7,137
Rehabilitation of Small Earth Dam at  Damolgo-Baamogre,21533,Rural,Dam,NABDAM,Ko-omgongo Enterprise ,OnGoing,58.7,151
Construction of Small Earth Dam at Miranateng,21534,Rural,Dam,PUSIGA,Suwa Muda Enterprise,OnGoing,47,200
 MAINTENANCE OF 16.2HA CASHEW PLANTATION AT BULBIA ,20804,Rural,Climate Change,WEST MAMPRUSI,,Completed,100,41
 MAINTENANCE OF 2.3HA CASHEW PLANTATION AT ARUGBAL ,20806,Rural,Climate Change,TEMPANE,,Completed,100,10
Rehabilitation of Naturi Junc- Naturi Feeder Road (3.4km),20921,Rural,Feeder Road,CHEREPONI,Chassay Premium Limited,Completed,94.25,124
Rehabilitation of Songo-Songure Feeder Road (5.0km,20923,Rural,Feeder Road,GARU,Fuwab Company Limited,OnGoing,60,195
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at KUBORI",21155,Rural,Climate Change,MAMPRUGU-MOAGDURI,,Completed,98.4,66
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Nyogbari community",21157,Rural,Climate Change,NABDAM,,Completed,100,66
Rehabilitation of Small Earth Dam at Namasim,21255,Rural,Dam,EAST MAMPRUSI,Fm-Zanjina Enterprise Limited,OnGoing,21.2,181
Rehabilitation of Dugout Yirangu,21257,Rural,Dam,MAMPRUGU-MOAGDURI,Abrakman Enterprise ,OnGoing,71.55,191
Rehabilitation of Small Earth Dam at Doninga Delogsa,21272,Rural,Dam,BUILSA SOUTH,Maligu Investment Limited ,Terminated,2,83
Rehabilitation of Small Earth Dam at Dusbuliga,21274,Rural,Dam,GARU,Akologo Enterprise Ltd,OnGoing,73,249
Rehabilitation of 10 degraded land using Cashew fruit trees including nursery at Nyandema,21289,Rural,Climate Change,BUILSA SOUTH,,Completed,100,66
Development of Gambaga College of Education Park,21291,Urban,Flood Mitigation Measures,EAST MAMPRUSI,THE SELECTOR COMPANY LTD.,OnGoing,61.65,73
Rehabilitation of Nansoni - Akromabila    Feeder Road (5.00 Km),21455,Rural,Feeder Road,CHEREPONI,YACKSON GHANA LIMITED,OnGoing,52.25,228
Rehabilitation of Mimima - Boayini       Feeder Road (5.30 Km),21457,Rural,Feeder Road,WEST MAMPRUSI,Messrs Hypermomnt Construction Limited,OnGoing,35.2,215
Construction of Small Earth Dam at Zangum,21523,Rural,Dam,WEST MAMPRUSI,Taweri Limited,OnGoing,51.75,249
Construction of Small Earth Dam at Apodabogo ,21525,Rural,Dam,BAWKU WEST,Kpannyaraga GH Ltd,OnGoing,38.25,162
Rehabilitation of Kaadi  - Kulunvai   Feeder  Road (5.40 Km),21542,Rural,Feeder Road,BINDURI,AL-AMAF ENTERPRISE LIMITED,OnGoing,51.75,223
 MAINTENANCE OF 6.0HA CASHEW PLANTATION AT KPENTAUNG ,20794,Rural,Climate Change,BUNKPURUGU,,Completed,100,20
 MAINTENANCE OF 11.3 HA CASHEW PLANTATION AT LOAGRI ,20801,Rural,Climate Change,MAMPRUGU-MOAGDURI,,Completed,100,31
 MAINTENANCE OF 10HA CASHEW PLANTATION AT CHUCHULIGA AWENAGUUK ,20808,Rural,Climate Change,BUILSA NORTH,,Closed,40.6,34
Rehabilitation of Gbankoni - Nanjong No. 2 Feeder Road (6.9km),20919,Rural,Feeder Road,BUNKPURUGU,Amovbet Engineering Construction Limited,OnGoing,79.5,109
Rehabilitation of Kulsalboug - Zanlerigu  Feeder Road (2.1 km),20926,Rural,Feeder Road,NABDAM,Legico Enterprise Ltd,Completed,86,145
Completion of Small Earth Dam at Nayorku,20951,Rural,Dam,WEST MAMPRUSI,AFA INVESTMENTS LTD.,Completed,100,45
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Bachonsa Nyambisa community",21151,Rural,Climate Change,BUILSA SOUTH,,OnGoing,60,71
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Bengula community",21158,Rural,Climate Change,PUSIGA,,OnGoing,74,66
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at NASUAN",21162,Rural,Climate Change,YUNYOO-NASUAN,,Completed,100,66
Rehabilitation of Small Earth Dam at Kauk,21251,Rural,Dam,BUNKPURUGU,M. Baako Construction Works Limited,OnGoing,79.23,171
Rehabilitation of Small Earth Dam at Nawaasa,21269,Rural,Dam,BUILSA NORTH,Bere-Som Company Limited ,OnGoing,10.4,109
Rehabilitation of Small Earth Dam at Goohi Gozia,21276,Rural,Dam,NABDAM,Pedi Constructions Works Enterprise ,OnGoing,65,242
Rehabilitation of 8ha degraded land using Cashew fruit trees including nursery at Kamega,21287,Rural,Climate Change,BAWKU WEST,,OnGoing,42.25,64
Rehabilitation of Azugyire - Achanyire Canal Feeder Road (3.40 Km),21451,Rural,Feeder Road,BUILSA NORTH,MAIDSAM COMPANY LTD,OnGoing,34,155
Rehabilitation of Zanwara - Garigu Canal   Feeder Road (3.00 Km),21462,Rural,Feeder Road,MAMPRUGU-MOAGDURI,Messrs Kelladi Limited,OnGoing,12.82,228
Rehabilitation of Kongo Market - Pelungu   Feeder Road (5.00 Km),21501,Rural,Feeder Road,NABDAM,,Dropped,0,0
Construction of Small Earth Dam at Gbiima,21519,Rural,Dam,MAMPRUGU-MOAGDURI,,OnGoing,26,104
Construction of Small Earth Dam at Zabugu  Kpalg ,21526,Rural,Dam,BAWKU ,CITIZEN HAQ VENTURES,OnGoing,63.96,185
 MAINTENANCE OF 3.9HA CASHEW PLANTATION AT KPEMALE ,20792,Rural,Climate Change,BUNKPURUGU,,Completed,100,15
 MAINTENANCE OF 9.8HA CASHEW PLANTATION AT NAMANGU ,20799,Rural,Climate Change,EAST MAMPRUSI,,Completed,100,28
Rehabilitation of Akuyelingo - Tingre -Wegurigo Feeder Road (5.0km),20917,Rural,Feeder Road,BONGO,UMEX GHANA LIMITED,OnGoing,56,114
Rehabilitation of Ajengo Natinga-  Tesnatinga Feeder Road (4.3km),20928,Rural,Feeder Road,PUSIGA,TUMSUNG CO. LTD,Paused,62.25,153
Completion of Small Earth Dam at Mangor,20953,Rural,Dam,YUNYOO-NASUAN,Shahefac Enterprise ,OnGoing,63.2,191
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Adaribe community",21153,Rural,Climate Change,EAST MAMPRUSI,,OnGoing,85,49
"Rehabilitation of 7.0 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at KONGO community",21160,Rural,Climate Change,TEMPANE,,OnGoing,30.1,47
 Rehabilitation of Winkogo - Dapore Feeder Road (4.0km),21185,Rural,Feeder Road,TALENSI,Y. Bosuh Construction Works Limited,OnGoing,64.25,86
Rehabilitation of Small Earth Dam at Waku,21253,Rural,Dam,CHEREPONI,Asalima Enterprise ,OnGoing,42.2,215
Rehabilitation of Small Earth Dam at Nagani,21260,Rural,Dam,YUNYOO-NASUAN,Nasoen Gh Ltd,Dropped,0,117
Rehabilitation of Small Earth Dam at Sambolgo-Moo,21267,Rural,Dam,BONGO,Sons of Jah Will,OnGoing,36.8,205
Rehabilitation of Small Earth Dam at Kolnaba,21278,Rural,Dam,PUSIGA,Marfu-Fataa Ent Enterprise,OnGoing,80.03,304
Rehabilitation of Bimbago Bridge -Laapaak Feeder Road (5.40 Km),21453,Rural,Feeder Road,BUNKPURUGU,Abshi Enterprise Limited,OnGoing,51.5,266
Rehabilitation of Waaki  - Sook       Feeder Road (3.60 Km),21460,Rural,Feeder Road,TALENSI,Messrs Hartbarak Enterprise,OnGoing,82.75,221
Rehabilitation of Small Earth Dam at Kpentaung     ,21521,Rural,Dam,BUNKPURUGU,MURAAJA GH. LTD,OnGoing,32,188
Construction of Small Earth Dam at Gotisaliga ,21528,Rural,Dam,BINDURI,Dambe Enterprise Limited,OnGoing,36.45,267
Rehabilitation of Small Earth Dam at Tongo Beo,21535,Rural,Dam,TALENSI,RYTETIME SOLUTIONS LIMITED,Dropped,0,0
 MAINTENANCE OF 7.7HA CASHEW PLANTATION AT YIKURUGU ,20790,Rural,Climate Change,BAWKU WEST,,Terminated,41.45,23
 MAINTENANCE OF 4.6 HA CASHEW PLANTATION AT KPARIKPII ,20803,Rural,Climate Change,NABDAM,,Terminated,33.8,18
 MAINTENANCE OF 16.7HA CASHEW PLANTATION AT GUABULIGA ,20805,Rural,Climate Change,WEST MAMPRUSI,,Closed,55.05,42
 MAINTENANCE OF 7HA CASHEW PLANTATION AT BIMPELLA ,20807,Rural,Climate Change,PUSIGA,,Completed,100,22
Rehabilitation of Naturi -Tichangu Feeder Road (5.0km),20920,Rural,Feeder Road,CHEREPONI,Shamaha  Enterprise limited,OnGoing,63,150
Rehabilitation of Gambaga - Zimasa Feeder Road (5.0km),20922,Rural,Feeder Road,EAST MAMPRUSI,Marnagan Co. Ltd,OnGoing,70.5,130
Rehabilitation of Farfar- Walkman Feeder Road (5.0km),20924,Rural,Feeder Road,GARU,Step-Kulus Investment Limited ,OnGoing,57.75,276
Completion of Small Earth Dam at Namongo,20954,Rural,Dam,YUNYOO-NASUAN,Kpannyaraga GH Ltd,OnGoing,80.2,150
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Tengsung community",21154,Rural,Climate Change,GARU,,OnGoing,73,72
Rehabilitation of Dugout at Kuchuglim,21256,Rural,Dam,MAMPRUGU-MOAGDURI,Maligu Investment Limited ,OnGoing,32,124
Rehabilitation of Small Earth Dam at Guabuliga,21258,Rural,Dam,WEST MAMPRUSI,Awakwa Company LTD,Completed,100,184
Rehabilitation of Small Earth Dam at Pitengsa,21271,Rural,Dam,BUILSA SOUTH,A. Adnan Company Limited,Completed,90,300
Rehabilitation of Small Earth Dam at Duuri-Kangari,21273,Rural,Dam,GARU,NURASH COMPANY LTD.,OnGoing,45.4,193
Rehabilitation of 10ha degraded land using Cashew fruit trees including nursery at Naadema,21288,Rural,Climate Change,BUILSA SOUTH,,OnGoing,55,87
Rehabilitation of Nalerigu - Zaari   Feeder Road (5.00 Km),21456,Rural,Feeder Road,EAST MAMPRUSI,NAASOEN GHANA COMPANY LTD,OnGoing,55.5,117
Rehabilitation of Kongo Market - Pelungu   Feeder Road (5.00 Km),21458,Rural,Feeder Road,NABDAM,Legico Enterprise Ltd,OnGoing,44.04,196
Rehabilitation of Small Earth Dam at Wulugu,21522,Rural,Dam,WEST MAMPRUSI,AFA INVESTMENTS LTD.,OnGoing,48.75,236
Construction of Small Earth Dam at Suamvusi     ,21524,Rural,Dam,YUNYOO-NASUAN,Vian Enterprise,OnGoing,15.2,215
 MAINTENANCE OF 10HA CASHEW PLANTATION AT KUBUGU ,20802,Rural,Climate Change,MAMPRUGU-MOAGDURI,,Completed,100,29
Rehabilitation of Jadema-Buyinga Feeder Road (5.4km),20925,Rural,Feeder Road,MAMPRUGU-MOAGDURI,Maligu Investment Limited ,OnGoing,31,163
Rehabilitation of Zopeliga-Dagliga Basic School Feeder Road (4.0km),20927,Rural,Feeder Road,NABDAM,Gibs Agro and Consulting Services,OnGoing,60,90
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Pusu Namongo  community",21159,Rural,Climate Change,TALENSI,,Completed,100,66
"Rehabilitation of 8.8 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Kpinkpanyoung community",21161,Rural,Climate Change,TEMPANE,,OnGoing,83,68
Rehabilitation of Small Earth Dam at Nabari,21259,Rural,Dam,WEST MAMPRUSI,Taweri Limited,Completed,91.2,123
Rehabilitation of Small Earth Dam at Balansa Bagumsa,21268,Rural,Dam,BUILSA NORTH,Ganwong Enterprise Limited,OnGoing,80.22,225
Rehabilitation of Small Earth Dam at Wiaga Longsa,21270,Rural,Dam,BUILSA NORTH,Naram-Man Enterprise ,OnGoing,75.9,222
Re-development of Old Sports Stadium at Awusuyeri,21293,Urban,Flood Mitigation Measures,BUILSA NORTH,Astee Company Limited,OnGoing,60.5,100
Rehabilitation of Nakambo -Dabia    Feeder Road (5.00 Km),21459,Rural,Feeder Road,PUSIGA,Bandele Enterprise,OnGoing,35.44,148
Rehabilitation of Amoliga Jnc. - Ayarizumah's House     Feeder Road (5.00 Km),21461,Rural,Feeder Road,TEMPANE,Time Heals Enterprise Limited,OnGoing,27,214
Construction of Small Earth Dam at Boko ,21527,Rural,Dam,BINDURI,SUMMIT  DOU COMPANY LIMITED,OnGoing,50,203
Rehabilitation of Small Earth Dam at Gorigo,21529,Rural,Dam,BONGO,MADUSON ENTERPRISE,OnGoing,54.45,193
Construction of Small Earth Dam at Busnateng,21536,Rural,Dam,TEMPANE,Larodex Ltd,OnGoing,28.5,187
MAINTENANCE OF 3.5HA CASHEW PLANTATION AT MANTANA,20809,Rural,Climate Change,YUNYOO-NASUAN,,Completed,100,12
Rehabilitation of Sanabiisi -Kabre - Akulyor Feeder Road (5.0km),20916,Rural,Feeder Road,BONGO,Tuniyu Enterprise ,OnGoing,72.5,116
Rehabilitation of Doninga - Banyangsa Feeder Road (4.0km),20918,Rural,Feeder Road,BUILSA SOUTH,Dambe Enterprise Limited,OnGoing,60,116
Completion of Small Earth Dam at Agargo,20952,Rural,Dam,BAWKU WEST,Dambe Enterprise Limited,Completed,100,185
Rehabilitation of Gbingbalanchet - Bimbago Feeder Road Phase 1 (5.0km),21118,Rural,Feeder Road,YUNYOO-NASUAN,Martmell Enterprise,OnGoing,61.25,143
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Bador",21145,Rural,Climate Change,BAWKU ,,OnGoing,69,67
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Wiaga Chiok community",21150,Rural,Climate Change,BUILSA NORTH,,OnGoing,40,66
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Nanyiar community",21152,Rural,Climate Change,BUNKPURUGU,,OnGoing,70.2,83
Rehabilitation of Wiidi - Kutanga - Buzunde Feeder Road (5.8km) ,21184,Rural,Feeder Road,BAWKU ,Dipama Investment GH Ltd,OnGoing,68.5,131
Rehabilitation of Small Earth Dam at Tusuk Konchian Gberuk,21252,Rural,Dam,BUNKPURUGU,Abshi Enterprise Limited,Completed,79.23,191
Rehabilitation of Small Earth Dam at Gbandabila ,21254,Rural,Dam,EAST MAMPRUSI,Kpannyaraga GH Ltd,OnGoing,72.6,97
Rehabilitation of Dugout at Kugri,21275,Rural,Dam,NABDAM,Kebule Enterprise ,Completed,100,125
Rehabilitation of Small Earth Dam at Kouse,21277,Rural,Dam,PUSIGA,Bere-Som Company Limited ,OnGoing,44,298
Rehabilitation of Small Earth Dam at Pusu Namongo  ,21279,Rural,Dam,TALENSI,Tengzug Investment,OnGoing,60.2,312
Rehabilitation of Luisa - Suik   Feeder Road (5.00 Km),21452,Rural,Feeder Road,BUILSA SOUTH,ALPHALIM COMPANY LTD,OnGoing,43.9,216
Rehabilitation of Gbankoni - Gbaduak Nasiabouk Feeder Road (5.40 Km),21454,Rural,Feeder Road,BUNKPURUGU,Messrs Olamsa Construction & Trading Limited,OnGoing,52.5,273
Completion of Small Earth Dam at Nagboo,21518,Rural,Dam,EAST MAMPRUSI,ANTARAH ENTERPRISE LIMITED,OnGoing,56,290
Rehabilitation of Small Earth Dam at Nakpanduri Nanpaukbauk   ,21520,Rural,Dam,BUNKPURUGU,Amobet Engineering & Construction Ltd,Paused,5,212
Rehabilitation of Boya - Kpalsako  - Aniisi  - Zeego   Feeder  Road (6.30 Km),21543,Rural,Feeder Road,BAWKU WEST,,OnGoing,57.45,227
 MAINTENANCE OF 4.2HA CASHEW PLANTATION AT JAKPA ,20795,Rural,Climate Change,CHEREPONI,,Completed,100,16
Rehabilitation of Gundago- Gbango-Kansogo Feeder Road (5.0km),20913,Rural,Feeder Road,BAWKU WEST,KPALUA COMPANY LIMITED,OnGoing,54.5,122
Rehabilitation of Nayoko No. 2 - Gore clinic  Feeder Road (5.5km),20914,Rural,Feeder Road,BINDURI,Tuniyu Enterprise,OnGoing,66.1,217
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Yarigu community",21146,Rural,Climate Change,BAWKU WEST,,OnGoing,65,66
"Rehabilitation of 7.1 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Asebre community",21149,Rural,Climate Change,BONGO,,Completed,100,45
Rehabilitation of small earth Dam at Salpiiga,21263,Rural,Dam,BAWKU WEST,Pedi Constructions Works Enterprise ,OnGoing,29.8,165
Rehabilitation of Small Earth Dam at Gumakutari,21264,Rural,Dam,BAWKU ,Urban Planner Ghana Ltd,OnGoing,57,199
Rehabilitation of Small Earth Dam at Douskoum,21281,Rural,Dam,TEMPANE,Shahefac Enterprise ,OnGoing,60.2,364
Rehabilitation of Kpalwega - Nyorigu Feeder Road (2.8 Km),21449,Rural,Feeder Road,BAWKU ,Al-Amaf Enterprise,OnGoing,33,236
Rehabilitation of Tingre - Kuyelingo   Feeder Road (5.00 Km),21450,Rural,Feeder Road,BONGO,Asirawini and Sons Limited,OnGoing,42.95,256
Rehabilitation of Gbangbalanchet-Bimbago Feeder Road Phase 2 (5.0Km),21463,Rural,Feeder Road,YUNYOO-NASUAN,Messrs Bomshele Enterprise,OnGoing,49.3,191
Construction of Small Earth Dam at Danando,21517,Rural,Dam,CHEREPONI,AR QUALITY ENG. SERVICES,OnGoing,26,167
Rehabilitation of Small Earth Dam at Doninga Delogsa,21531,Rural,Dam,BUILSA SOUTH,MAACHIE ENTERPRISE,OnGoing,40.2,123
Rehabilitation of Small Earth Dam at Bugwiea,21532,Rural,Dam,GARU,,Dropped,0,219
